d 7,99,29,33,8,83,78,29,71,52,67,47,72,96,91,40,45,61,44,59,52,18,56,54,3,5,15,51,3,0,36,27,89,6,56,28,41,65,24,82,50,18,13,21,28,87,61,76,38,5
e 36,90,73,11,23,27,74,40,63,8,14,20,68,89,88,65,64,57,66,22,86,22,71,10,53,94,56,82,52,36,0,65,63,72,83,24,52,6,56,69,35,30,67,1,25,60,15,55,23,35
f 45,4,70,97,84,48,74,57,65,98,12,93,14,20,11,51,9,17,13,41,14,18,77,72,27,37,95,14,6,27,65,0,26,70,100,36,92,61,46,18,30,8,13,29,83,68,8,26,38,11
g 48,17,12,21,77,60,45,75,87,62,91,56,83,76,65,89,6,92,92,5,34,17,48,94,51,80,2,95,86,89,63,26,0,8,63,12,22,58,24,99,86,98,55,62,97,47,84,30,37,29
h 52,64,54,21,10,62,22,40,53,78,85,76,33,1,99,18,17,7,22,84,81,68,55,61,61,48,84,57,92,6,72,70,8,0,83,28,79,26,7,81,40,43,71,82,52,56,99,4,57,70
i 100,94,27,81,67,96,37,68,62,56,63,16,8,97,45,83,74,5,50,20,11,31,19,20,25,1,8,23,37,56,83,100,63,83,0,40,73,32,77,9,70,72,25,24,77,26,25,100,66,26
j 55,100,94,82,28,51,34,14,83,96,43,80,19,10,76,61,64,96,12,66,80,14,68,59,75,2,34,83,11,28,24,36,12,28,40,0,24,87,17,37,81,75,30,89,8,51,65,64,90,41
k 44,46,45,2,45,3,67,25,40,85,4,64,29,90,29,83,45,46,85,66,83,46,54,29,69,16,17,93,13,41,52,92,22,79,73,24,0,46,48,14,32,86,9,99,10,83,39,44,17,19
l 69,17,5,58,67,23,99,34,46,32,95,59,37,21,100,93,57,37,45,78,50,6,93,17,80,17,90,38,4,65,6,61,58,26,32,87,46,0,7,3,16,52,42,82,90,11,1,89,25,60
m 18,9,58,16,90,17,27,83,7,80,73,37,82,68,71,10,9,97,63,51,90,53,86,68,6,24,91,81,45,24,56,46,24,7,77,17,48,7,0,54,68,27,70,4,44,11,41,67,53,71
n 77,25,59,19,89,43,1,34,83,57,75,28,99,12,19,29,6,43,30,35,50,55,70,20,6,65,34,36,49,82,69,18,99,81,9,37,14,3,54,0,13,66,67,95,71,8,36,15,25,61
o 9,79,21,91,2,70,31,12,93,57,84,44,62,55,18,89,49,28,35,54,21,77,21,95,10,85,45,63,80,50,35,30,86,40,70,81,32,16,68,13,0,81,24,75,80,86,61,70,83,7
p 14,44,39,84,97,34,66,41,50,52,24,63,23,12,13,70,100,61,91,16,91,92,70,16,62,71,53,35,72,18,30,8,98,43,72,75,86,52,27,66,81,0,86,77,77,51,21,26,34,28
q 1,15,51,17,89,73,30,65,35,82,73,55,43,9,39,1,13,85,38,45,95,90,98,63,78,3,24,31,67,13,67,13,55,71,25,30,9,42,70,67,24,86,0,1,34,91,41,68,81,72
r 87,31,86,35,68,78,50,92,87,45,90,76,16,4,4,78,52,22,29,34,36,54,65,48,100,30,21,10,93,21,1,29,62,82,24,89,99,82,4,95,75,77,1,0,77,92,56,91,15,78
s 50,54,65,20,12,1,14,83,98,74,34,68,45,52,47,49,62,18,25,85,9,70,29,35,82,60,43,12,68,28,25,83,97,52,77,8,10,90,44,71,80,77,34,77,0,43,42,79,17,59
t 11,85,54,44,92,92,10,34,88,69,35,12,7,98,41,61,55,22,15,59,16,53,16,85,24,67,76,31,18,87,60,68,47,56,26,51,83,11,11,8,86,51,91,92,43,0,82,61,76,69
u 18,7,82,65,93,63,1,62,5,67,40,58,96,48,49,46,7,58,9,23,25,73,55,52,22,18,31,59,93,61,15,8,84,99,25,65,39,1,41,36,61,21,41,56,42,82,0,26,27,74
v 63,51,29,21,87,5,41,3,42,70,52,30,57,42,72,32,27,92,60,44,13,75,82,43,42,7,43,14,61,76,55,26,30,4,100,64,44,89,67,15,70,26,68,91,79,61,26,0,26,82
w 12,82,87,68,75,11,9,63,37,95,57,34,74,98,58,47,63,7,85,14,82,34,90,54,84,48,80,25,37,38,23,38,37,57,66,90,17,25,53,25,83,34,81,15,17,76,27,26,0,80
x 61,79,53,99,2,56,61,47,24,88,45,9,18,96,50,82,6,85,44,25,6,35,15,42,38,18,5,73,75,5,35,11,29,70,26,41,19,60,71,61,7,28,72,78,59,69,74,82,80,0
